Almaraz Nuclear Power Plant,"1,964",Spain,39.80806,-5.69694
Angra Nuclear Power Plant,"1,889",Brazil,-23.00833,-44.47389
Arkansas Nuclear One,"1,839",United States,35.31028,-93.23139
Ascó Nuclear Power Plant,"1,997",Spain,41.2,0.56944
Balakovo Nuclear Power Plant,"3,800",Russia,52.09111,47.95528
Beaver Valley Nuclear Generating Station,"1,738",United States,40.62333,-80.43056
Belleville Nuclear Power Plant,"2,620",France,47.50972,2.875
Biblis Nuclear Power Plant,"2,407",Germany,49.71,8.41528
Blayais Nuclear Power Plant,"3,640",France,45.25583,0.69306
Braidwood Nuclear Generating Station,"2,330",United States,41.24361,-88.22917
Brokdorf Nuclear Power Plant,"1,410",Germany,53.85083,9.34472
Browns Ferry Nuclear Power Plant,"3,300",United States,34.70389,-87.11861
Bruce Nuclear Generating Station,"6,139",Canada,44.70389,-81.59944
Brunswick Nuclear Generating Station,"1,858",United States,33.95833,-78.01028
Bugey Nuclear Power Plant,"3,580",France,45.32528,5.27083
Byron Nuclear Generating Station,"2,300",United States,42.07417,-89.28194
Callaway Plant,"1,190",United States,38.76167,-91.78
Calvert Cliffs Nuclear Power Plant,"1,735",United States,38.43194,-76.44222
Catawba Nuclear Station,"2,258",United States,35.05167,-81.07
Cattenom Nuclear Power Plant,"5,200",France,49.41583,6.21806
Cernavodă Nuclear Power Plant,"1,300",Romania,44.32222,28.05722
Chinon Nuclear Power Plant,"3,620",France,47.23056,0.17056
Chin Shan Nuclear Power Plant,"1,208",Taiwan,25.29139,121.56778
Chooz Nuclear Power Plant,"3,000",France,50.09,4.78944
Civaux Nuclear Power Plant,"2,990",France,46.45667,0.65278
Clinton Nuclear Generating Station,"1,043",United States,40.17222,-88.835
Cofrentes Nuclear Power Plant,"1,064",Spain,39.2166667,-1.05
Columbia Generating Station,"1,131",United States,46.47111,-119.33389
Comanche Peak Nuclear Generating Station,"2,367",United States,32.29833,-97.785
Cruas Nuclear Power Plant,"3,660",France,44.63306,4.75667
Dampierre Nuclear Power Plant,"3,560",France,47.73306,2.5166667
Darlington Nuclear Generating Station,"3,512",Canada,43.87278,-78.71972
Daya Bay Nuclear Power Plant,"1,888",China,22.59778,114.54361
Diablo Canyon Power Plant,"2,240",United States,35.21083,-120.85611
Doel Nuclear Power Station,"2,911",Belgium,51.32472,4.25861
Donald C. Cook Nuclear Generating Station,"2,069",United States,41.97528,-86.56583
Dresden Nuclear Power Plant,"1,734",United States,41.38972,-88.26806
Dukovany Nuclear Power Station,"1,752",Czech Republic,49.085,16.14889
Dungeness Nuclear Power Station,"1,040",United Kingdom,50.91389,0.96389
Edwin Hatch Nuclear Power Station,"1,759",United States,31.93417,-82.34389
Enrico Fermi Nuclear Generating Station,"1,122",United States,41.96278,-83.2575
Emsland Nuclear Power Plant,"1,329",Germany,52.47417,7.31778
Fessenheim Nuclear Power Plant,"1,760",France,47.90306,-7.56306
Flamanville Nuclear Power Plant,"2,660",France,49.53639,-1.88167
Forsmark Nuclear Power Plant,"3,087",Sweden,60.40333,18.1666667
Fukushima I Nuclear Power Plant,"4,696",Japan,37.42139,141.0325
Fukushima II Nuclear Power Plant,"4,400",Japan,37.31944,141.02111
Genkai Nuclear Power Plant,"3,478",Japan,33.51556,129.83722
Goesgen Nuclear Power Plant,"1,020",Switzerland,47.36583,7.9666667
Golfech Nuclear Power Plant,"2,620",France,44.10667,0.84528
Grafenrheinfeld Nuclear Power Plant,"1,275",Germany,49.98389,10.18472
Grand Gulf Nuclear Generating Station,"1,251",United States,32.00667,-91.04833
Gravelines Nuclear Power Plant,"5,460",France,51.01528,2.13611
Grohnde Nuclear Power Plant,"1,360",Germany,52.03528,9.41333
Gundremmingen Nuclear Power Plant,"1,972",Germany,48.51472,10.40222
Hamaoka Nuclear Power Plant,"4,997",Japan,34.62361,138.1425
Hartlepool nuclear power station,"1,190",United Kingdom,54.635,-1.18083
Heysham nuclear power station,"2,400",United Kingdom,54.02889,-2.91611
Higashidōri Nuclear Power Plant,"1,100",Japan,41.18806,141.39028
Hope Creek Nuclear Generating Station,"1,191",United States,39.46778,-75.53806
Ignalina Nuclear Power Plant,"1,300",Lithuania,55.60444,26.56
Ikata Nuclear Power Plant,"2,022",Japan,33.49083,132.31139
Indian Point Energy Center,"2,062",United States,41.26972,-73.95222
Isar Nuclear Power Plant,"2,288",Germany,48.60556,12.29306
Joseph M. Farley Nuclear Generating Station,"1,711",United States,31.22306,-85.11167
Kakrapar Atomic Power Station,"1,664",India,21.23861,73.35
Kalinin Nuclear Power Plant,"2,850",Russia,57.90556,35.06028
Kashiwazaki-Kariwa Nuclear Power Plant,"7,965",Japan,37.42917,138.59528
Khmelnitskiy Nuclear Power Plant,"1,900",Ukraine,50.30139,26.64972
Koeberg Nuclear Power Station,"1,800",South Africa,-33.67639,18.43194
Kola Nuclear Power Plant,"1,644",Russia,67.4666667,32.4666667
Kori Nuclear Power Plant,"2,951",South Korea,35.31694,129.3
Koodankulam Nuclear Power Plant,"2,000",India,8.16833,77.7125
Kozloduy Nuclear Power Plant,"3,760",Bulgaria,43.74611,23.77056
Krümmel Nuclear Power Plant,"1,346",Germany,53.41,10.40889
Kuosheng Nuclear Power Plant,"1,933",Taiwan,25.20306,121.66278
Kursk Nuclear Power Plant,"3,700",Russia,51.675,35.60556
Laguna Verde Nuclear Power Station,"1,300",Mexico,19.72083,-96.40639
LaSalle County Nuclear Generating Station,"2,238",United States,41.24556,-88.66917
Leibstadt Nuclear Power Plant,"1,220",Switzerland,47.60306,8.18472
Lemoniz Nuclear Power Plant,"1,800",Spain,43.4333333,-2.8725
Leningrad Nuclear Power Plant,"3,700",Russia,59.84722,29.04361
Limerick Nuclear Power Plant,"2,264",United States,40.22667,-75.58722
Ling Ao Nuclear Power Plant,"3,876",China,22.60472,114.55139
McGuire Nuclear Station,"2,200",United States,35.4325,-80.94833
